Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Antigonia capros,Chordata,Teleostei,Zeiformes,Caproidae,Antigonia,capros,Teleostei,4.84,6.2,Family,Caproidae,1.36,28.0991735537,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Apostichopus californicus,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,californicus,Other invertebrates,1.0545,3.0,Broad group,Other invertebrates,1.9455,184.4950213371,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Argis lar,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,lar,Crustacea,4.62,3.9,Broad group,Crustacea,0.72,15.5844155844,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Ariomma bondi,Chordata,Teleostei,Perciformes,Ariommatidae,Ariomma,bondi,Teleostei,5.17,5.62,Broad group,Teleostei,0.45,8.7040618956,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Artediellus scaber,Chordata,Teleostei,Scorpaeniformes,Cottidae,Artediellus,scaber,Teleostei,4.94,4.35,Family,Cottidae,0.59,11.9433198381,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Aspidophoroides monopterygius,Chordata,Teleostei,Scorpaeniformes,Agonidae,Aspidophoroides,monopterygius,Teleostei,5.44,5.62,Broad group,Teleostei,0.18,3.3088235294,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Atheresthes evermanni,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,evermanni,Teleostei,4.67,5.6,Family,Pleuronectidae,0.93,19.9143468951,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Atheresthes stomias,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,stomias,Teleostei,4.905,5.6,Family,Pleuronectidae,0.695,14.1692150866,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Bathyraja interrupta,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Bathyraja,interrupta,Chondrichthyes,4.38,5.7,Broad group,Chondrichthyes,1.32,30.1369863014,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Bembrops anatirostris,Chordata,Teleostei,Perciformes,Percophidae,Bembrops,anatirostris,Teleostei,3.89,5.62,Broad group,Teleostei,1.73,44.4730077121,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Berryteuthis magister,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,magister,Cephalopoda,7.94,4.7,Broad group,Cephalopoda,3.24,40.8060453401,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Boreogadus saida,Chordata,Teleostei,Gadiformes,Gadidae,Boreogadus,saida,Teleostei,4.735,4.7,Family,Gadidae,0.035,0.7391763464,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Calanus glacialis,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,glacialis,Crustacea,7.4,3.9,Broad group,Crustacea,3.5,47.2972972973,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Calanus hyperboreus,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,hyperboreus,Crustacea,1.22,3.9,Broad group,Crustacea,2.68,219.6721311475,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Calanus marshallae,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Crustacea,4.89,3.9,Broad group,Crustacea,0.99,20.245398773,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Cancer magister,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,magister,Crustacea,4.54,3.9,Broad group,Crustacea,0.64,14.0969162996,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Cancer oregonensis,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,oregonensis,Crustacea,3.61,3.9,Broad group,Crustacea,0.29,8.0332409972,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Cancer productus,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,productus,Crustacea,2.96,3.9,Broad group,Crustacea,0.94,31.7567567568,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Ceratostoma foliatum,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,foliatum,Mollusca (non-cephalopods),4.88,2.14,Broad group,Mollusca (non-cephalopods),2.74,56.1475409836,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Chionoecetes opilio,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,opilio,Crustacea,3.69,3.9,Broad group,Crustacea,0.21,5.6910569106,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Chlamys rubida,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,rubida,Mollusca (non-cephalopods),4.48,2.14,Broad group,Mollusca (non-cephalopods),2.34,52.2321428571,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Clinocardium nuttallii,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium,nuttallii,Mollusca (non-cephalopods),2.8,1.57,Genus,Clinocardium,1.23,43.9285714286,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Coregonus autumnalis,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,autumnalis,Teleostei,4.71,5.62,Broad group,Teleostei,0.91,19.3205944798,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Coregonus laurettae,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,laurettae,Teleostei,10.9,5.62,Broad group,Teleostei,5.28,48.4403669725,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Coregonus pidschian,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,pidschian,Teleostei,6.9,5.62,Broad group,Teleostei,1.28,18.5507246377,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Coregonus sardinella,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,sardinella,Teleostei,7.4,5.62,Broad group,Teleostei,1.78,24.0540540541,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Crassadoma gigantea,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,gigantea,Mollusca (non-cephalopods),3.55,2.14,Broad group,Mollusca (non-cephalopods),1.41,39.7183098592,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Crassostrea gigas,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,gigas,Mollusca (non-cephalopods),2.15,2.14,Broad group,Mollusca (non-cephalopods),0.01,0.4651162791,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Cryptochiton stelleri,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,stelleri,Mollusca (non-cephalopods),3.66,2.14,Broad group,Mollusca (non-cephalopods),1.52,41.5300546448,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Cymatogaster aggregata,Chordata,Teleostei,Perciformes,Embiotocidae,Cymatogaster,aggregata,Teleostei,5.17,5.62,Broad group,Teleostei,0.45,8.7040618956,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Diaphus theta,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,theta,Teleostei,11.8,7.0,Family,Myctophidae,4.8,40.6779661017,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eleginus gracilis,Chordata,Teleostei,Gadiformes,Gadidae,Eleginus,gracilis,Teleostei,3.8,4.7,Family,Gadidae,0.9,23.6842105263,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Entodesma navicula,Mollusca,Bivalvia,Pandorida,Lyonsiidae,Entodesma,navicula,Mollusca (non-cephalopods),2.82,2.14,Broad group,Mollusca (non-cephalopods),0.68,24.1134751773,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eualus fabricii,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,fabricii,Crustacea,5.06,3.9,Broad group,Crustacea,1.16,22.9249011858,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eualus gaimardii,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,gaimardii,Crustacea,5.16,3.9,Broad group,Crustacea,1.26,24.4186046512,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eualus macilentus,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,macilentus,Crustacea,5.97,3.9,Broad group,Crustacea,2.07,34.6733668342,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eucalanus bungii,Arthropoda,Maxillopoda,Calanoida,Eucalanidae,Eucalanus,bungii,Crustacea,1.69,3.9,Broad group,Crustacea,2.21,130.7692307692,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Eumesogrammus praecisus,Chordata,Teleostei,Perciformes,Stichaeidae,Eumesogrammus,praecisus,Teleostei,4.64,5.4,Family,Stichaeidae,0.76,16.3793103448,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Euphausia pacifica,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica,Crustacea,4.21,3.73,Genus,Euphausia,0.48,11.4014251781,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Evasterias troscheli,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,troscheli,Other invertebrates,4.55,3.0,Broad group,Other invertebrates,1.55,34.0659340659,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,4.275,4.7,Family,Gadidae,0.425,9.9415204678,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Gadus macrocephalus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,macrocephalus,Teleostei,3.875,4.7,Family,Gadidae,0.825,21.2903225806,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Gorgonocephalus arcticus,Echinodermata,Ophiuroidea,Phrynophiurida,Gorgonocephalidae,Gorgonocephalus,arcticus,Other invertebrates,2.87,3.0,Broad group,Other invertebrates,0.13,4.5296167247,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Gymnocanthus tricuspis,Chordata,Teleostei,Scorpaeniformes,Cottidae,Gymnocanthus,tricuspis,Teleostei,3.8,4.35,Family,Cottidae,0.55,14.4736842105,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Haliotis kamtschatkana,Mollusca,Gastropoda,Haliotida,Haliotidae,Haliotis,kamtschatkana,Mollusca (non-cephalopods),4.61,2.14,Broad group,Mollusca (non-cephalopods),2.47,53.579175705,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hemilepidotus jordani,Chordata,Teleostei,Scorpaeniformes,Cottidae,Hemilepidotus,jordani,Teleostei,4.02,4.35,Family,Cottidae,0.33,8.2089552239,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hexagrammos decagrammus,Chordata,Teleostei,Scorpaeniformes,Hexagrammidae,Hexagrammos,decagrammus,Teleostei,3.36,4.0,Family,Hexagrammidae,0.64,19.0476190476,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hippoglossoides robustus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,robustus,Teleostei,3.93,5.6,Family,Pleuronectidae,1.67,42.4936386768,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hippoglossus stenolepis,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis,Teleostei,4.18,5.6,Family,Pleuronectidae,1.42,33.971291866,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hypomesus olidus,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,olidus,Teleostei,4.79,9.04,Family,Osmeridae,4.25,88.7265135699,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Hypomesus pretiosus,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,pretiosus,Teleostei,3.88,9.04,Family,Osmeridae,5.16,132.9896907216,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lampanyctus jordani,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,jordani,Teleostei,10.2,4.1,Genus,Lampanyctus,6.1,59.8039215686,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lepidopsetta polyxystra,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,polyxystra,Teleostei,3.54,5.6,Family,Pleuronectidae,2.06,58.1920903955,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lepidopus altifrons,Chordata,Teleostei,Perciformes,Trichiuridae,Lepidopus,altifrons,Teleostei,3.82,5.62,Broad group,Teleostei,1.8,47.1204188482,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Leptoclinus maculatus,Chordata,Teleostei,Perciformes,Stichaeidae,Leptoclinus,maculatus,Teleostei,4.19,5.4,Family,Stichaeidae,1.21,28.8782816229,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Leukoma staminea,Mollusca,Bivalvia,Venerida,Veneridae,Leukoma,staminea,Mollusca (non-cephalopods),2.81,2.14,Broad group,Mollusca (non-cephalopods),0.67,23.8434163701,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Leuroglossus schmidti,Chordata,Teleostei,Osmeriformes,Bathylagidae,Leuroglossus,schmidti,Teleostei,6.65,5.62,Broad group,Teleostei,1.03,15.4887218045,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Limacina helicina,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,helicina,Mollusca (non-cephalopods),2.77,2.14,Broad group,Mollusca (non-cephalopods),0.63,22.7436823105,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Limanda aspera,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda,aspera,Teleostei,4.6,5.6,Family,Pleuronectidae,1.0,21.7391304348,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Limanda proboscidea,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda,proboscidea,Teleostei,4.85,5.6,Family,Pleuronectidae,0.75,15.4639175258,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Limnocalanus grimaldii,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Limnocalanus,grimaldii,Crustacea,3.63,3.9,Broad group,Crustacea,0.27,7.4380165289,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Liopsetta glacialis,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Liopsetta,glacialis,Teleostei,4.85,5.6,Family,Pleuronectidae,0.75,15.4639175258,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Liparis gibbus,Chordata,Teleostei,Scorpaeniformes,Liparidae,Liparis,gibbus,Teleostei,3.63,5.62,Broad group,Teleostei,1.99,54.8209366391,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lirabuccinum dirum,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Lirabuccinum,dirum,Mollusca (non-cephalopods),4.82,2.14,Broad group,Mollusca (non-cephalopods),2.68,55.601659751,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Loligo opalescens,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,Cephalopoda,4.31,4.7,Genus,Loligo,0.39,9.0487238979,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Loligo pealeii,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,pealeii,Cephalopoda,3.43,4.7,Genus,Loligo,1.27,37.0262390671,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lota lota,Chordata,Teleostei,Gadiformes,Gadidae,Lota,lota,Teleostei,4.07,4.7,Family,Gadidae,0.63,15.4791154791,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lumpenus fabricii,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,fabricii,Teleostei,4.61,5.4,Family,Stichaeidae,0.79,17.136659436,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lycodes mucosus,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,mucosus,Teleostei,3.96,5.62,Broad group,Teleostei,1.66,41.9191919192,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lycodes palearis,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,palearis,Teleostei,4.43,5.62,Broad group,Teleostei,1.19,26.8623024831,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lycodes polaris,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,polaris,Teleostei,4.29,5.62,Broad group,Teleostei,1.33,31.0023310023,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lycodes raridens,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,raridens,Teleostei,4.46,5.62,Broad group,Teleostei,1.16,26.0089686099,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lycodes turneri,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,turneri,Teleostei,4.09,5.62,Broad group,Teleostei,1.53,37.4083129584,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Lytechinus variegatus,Echinodermata,Echinoidea,Temnopleuroida,Toxopneustidae,Lytechinus,variegatus,Other invertebrates,2.48,3.0,Broad group,Other invertebrates,0.52,20.9677419355,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Maurolicus weitzmani,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,weitzmani,Teleostei,3.67,4.2,Genus,Maurolicus,0.53,14.4414168937,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Megalocottus platycephalus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Megalocottus,platycephalus,Teleostei,4.63,4.35,Family,Cottidae,0.28,6.0475161987,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Merluccius productus,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,productus,Teleostei,3.095,3.99,Genus,Merluccius,0.895,28.9176090468,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Microgadus proximus,Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,proximus,Teleostei,4.17,4.7,Family,Gadidae,0.53,12.7098321343,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Mya arenaria,Mollusca,Bivalvia,Myida,Myidae,Mya,arenaria,Mollusca (non-cephalopods),1.68,2.14,Broad group,Mollusca (non-cephalopods),0.46,27.380952381,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Myoxocephalus quadricornis,Chordata,Teleostei,Scorpaeniformes,Cottidae,Myoxocephalus,quadricornis,Teleostei,3.8,4.35,Family,Cottidae,0.55,14.4736842105,1
